,TTF_Price,Avg_Temp_C,HDD,Predicted_Price,Residuals
2023-05-16,31.820999145507812,9.9,8.1,60.35461445274234,-28.533615307234527
2023-05-17,31.952999114990234,10.1,7.9,60.471539338719026,-28.51854022372879
2023-05-18,29.78499984741211,9.6,8.4,60.179227123777316,-30.394227276365207
2023-05-19,30.176000595092773,12.5,5.5,61.87463797043924,-31.698637375346465
2023-05-20,30.176000595092773,14.6,3.4000000000000004,63.10234927319442,-32.92634867810165
2023-05-21,30.176000595092773,15.9,2.0999999999999996,63.86236103204287,-33.686360436950096
2023-05-22,29.711000442504883,16.5,1.5,64.21313568997292,-34.50213524746803
2023-05-23,29.12700080871582,12.1,5.9,61.640788198485865,-32.513787389770044
2023-05-24,27.78499984741211,11.5,6.5,61.29001354055581,-33.5050136931437
2023-05-25,25.45199966430664,12.1,5.9,61.640788198485865,-36.188788534179224
2023-05-26,24.520000457763672,11.9,6.1,61.523863312509185,-37.00386285474551
2023-05-27,24.520000457763672,13.3,4.699999999999999,62.34233751434597,-37.8223370565823
2023-05-28,24.520000457763672,14.3,3.6999999999999993,62.9269619442294,-38.406961486465725
2023-05-29,24.520000457763672,11.9,6.1,61.523863312509185,-37.00386285474551
2023-05-30,24.680999755859375,12.5,5.5,61.87463797043924,-37.19363821457986
2023-05-31,26.851999282836914,14.3,3.6999999999999993,62.9269619442294,-36.07496266139248
2023-06-01,23.10300064086914,12.5,5.5,61.87463797043924,-38.7716373295701
2023-06-02,23.68899917602539,13.5,4.5,62.45926240032266,-38.77026322429727
2023-06-03,23.68899917602539,15.4,2.5999999999999996,63.57004881710116,-39.88104964107577
2023-06-04,23.68899917602539,14.6,3.4000000000000004,63.10234927319442,-39.41335009716903
2023-06-05,28.47800064086914,13.8,4.199999999999999,62.63464972928768,-34.15664908841854
2023-06-06,24.860000610351562,14.2,3.8000000000000007,62.868499501241054,-38.00849889088949
2023-06-07,26.33099937438965,14.7,3.3000000000000007,63.160811716182764,-36.829812341793115
2023-06-08,26.94499969482422,16.0,2.0,63.92082347503121,-36.975823780206994
2023-06-09,32.04899978637695,20.1,0.0,65.09007233479805,-33.0410725484211
2023-06-10,32.04899978637695,22.1,0.0,65.09007233479805,-33.0410725484211
2023-06-11,32.04899978637695,23.7,0.0,65.09007233479805,-33.0410725484211
2023-06-12,31.035999298095703,23.2,0.0,65.09007233479805,-34.05407303670235
2023-06-13,36.05099868774414,21.3,0.0,65.09007233479805,-29.03907364705391
2023-06-14,38.3120002746582,20.2,0.0,65.09007233479805,-26.77807206013985
2023-06-15,41.14500045776367,20.1,0.0,65.09007233479805,-23.94507187703438
2023-06-16,35.007999420166016,19.1,0.0,65.09007233479805,-30.082072914632036
2023-06-17,35.007999420166016,19.4,0.0,65.09007233479805,-30.082072914632036
2023-06-18,35.007999420166016,20.6,0.0,65.09007233479805,-30.082072914632036
2023-06-19,35.007999420166016,19.9,0.0,65.09007233479805,-30.082072914632036
2023-06-20,38.70800018310547,22.1,0.0,65.09007233479805,-26.382072151692583
2023-06-21,36.74300003051758,19.2,0.0,65.09007233479805,-28.347072304280474
2023-06-22,34.09700012207031,18.9,0.0,65.09007233479805,-30.99307221272774
2023-06-23,32.50699996948242,19.5,0.0,65.09007233479805,-32.58307236531563
2023-06-24,32.50699996948242,20.3,0.0,65.09007233479805,-32.58307236531563
2023-06-25,32.50699996948242,23.8,0.0,65.09007233479805,-32.58307236531563
2023-06-26,31.975000381469727,18.5,0.0,65.09007233479805,-33.115071953328325
2023-06-27,34.50600051879883,17.1,0.8999999999999986,64.56391034790298,-30.057909829104148
2023-06-28,34.125,18.1,0.0,65.09007233479805,-30.96507233479805
2023-06-29,35.18000030517578,17.9,0.10000000000000142,65.03160989180971,-29.851609586633927
2023-06-30,37.10300064086914,17.1,0.8999999999999986,64.56391034790298,-27.460909707033835
2023-07-01,37.10300064086914,17.4,0.6000000000000014,64.73929767686799,-27.63629703599885
2023-07-02,37.10300064086914,16.8,1.1999999999999993,64.38852301893795,-27.285522378068805
2023-07-03,33.92900085449219,16.3,1.6999999999999993,64.09621080399624,-30.167209949504056
2023-07-04,33.92900085449219,16.5,1.5,64.21313568997292,-30.284134835480728
2023-07-05,34.37300109863281,14.4,3.5999999999999996,62.98542438721773,-28.61242328858492
2023-07-06,32.347999572753906,16.6,1.3999999999999986,64.27159813296126,-31.923598560207353
2023-07-07,33.47800064086914,20.6,0.0,65.09007233479805,-31.61207169392891
2023-07-08,33.47800064086914,24.0,0.0,65.09007233479805,-31.61207169392891
2023-07-09,33.47800064086914,21.1,0.0,65.09007233479805,-31.61207169392891
2023-07-10,30.226999282836914,19.5,0.0,65.09007233479805,-34.86307305196114
2023-07-11,29.06100082397461,20.4,0.0,65.09007233479805,-36.02907151082344
2023-07-12,26.638999938964844,17.8,0.1999999999999993,64.97314744882136,-38.33414750985652
2023-07-13,26.60700035095215,17.4,0.6000000000000014,64.73929767686799,-38.13229732591584
2023-07-14,25.957000732421875,19.0,0.0,65.09007233479805,-39.13307160237618
2023-07-15,25.957000732421875,20.7,0.0,65.09007233479805,-39.13307160237618
2023-07-16,25.957000732421875,18.4,0.0,65.09007233479805,-39.13307160237618
2023-07-17,25.10099983215332,17.1,0.8999999999999986,64.56391034790298,-39.462910515749655
2023-07-18,27.069000244140625,17.9,0.10000000000000142,65.03160989180971,-37.96260964766908
2023-07-19,26.96299934387207,17.3,0.6999999999999993,64.68083523387966,-37.71783589000759
2023-07-20,28.01799964904785,16.2,1.8000000000000007,64.0377483610079,-36.01974871196005
2023-07-21,28.163999557495117,15.6,2.4000000000000004,63.68697370307784,-35.52297414558272
2023-07-22,28.163999557495117,15.8,2.1999999999999993,63.803898589054526,-35.63989903155941
2023-07-23,28.163999557495117,17.7,0.3000000000000007,64.91468500583302,-36.750685448337904
2023-07-24,30.55699920654297,17.0,1.0,64.50544790491463,-33.948448698371664
2023-07-25,32.64799880981445,14.9,3.0999999999999996,63.27773660215944,-30.62973779234499
2023-07-26,29.274999618530273,15.6,2.4000000000000004,63.68697370307784,-34.411974084547566
2023-07-27,28.43400001525879,17.2,0.8000000000000007,64.62237279089132,-36.18837277563253
2023-07-28,25.840999603271484,19.1,0.0,65.09007233479805,-39.24907273152657
2023-07-29,25.840999603271484,18.7,0.0,65.09007233479805,-39.24907273152657
2023-07-30,25.840999603271484,17.5,0.5,64.79776011985633,-38.95676051658485
2023-07-31,28.365999221801758,17.5,0.5,64.79776011985633,-36.43176089805458
2023-08-01,27.12299919128418,16.7,1.3000000000000007,64.3300605759496,-37.20706138466542
2023-08-02,28.742000579833984,16.9,1.1000000000000014,64.44698546192629,-35.704984882092305
2023-08-03,30.472999572753906,16.4,1.6000000000000014,64.15467324698457,-33.681673674230666
2023-08-04,28.85300064086914,16.4,1.6000000000000014,64.15467324698457,-35.30167260611543
2023-08-05,28.85300064086914,15.2,2.8000000000000007,63.45312393112447,-34.60012329025533
2023-08-06,28.85300064086914,14.6,3.4000000000000004,63.10234927319442,-34.24934863232528
2023-08-07,30.48699951171875,15.4,2.5999999999999996,63.57004881710116,-33.08304930538241
2023-08-08,31.06599998474121,15.5,2.5,63.628511260089496,-32.562511275348285
2023-08-09,39.823001861572266,15.2,2.8000000000000007,63.45312393112447,-23.630122069552208
2023-08-10,37.055999755859375,17.9,0.10000000000000142,65.03160989180971,-27.975610135950333
2023-08-11,35.29999923706055,19.8,0.0,65.09007233479805,-29.790073097737505
2023-08-12,35.29999923706055,19.2,0.0,65.09007233479805,-29.790073097737505
2023-08-13,35.29999923706055,18.3,0.0,65.09007233479805,-29.790073097737505
2023-08-14,34.433998107910156,19.5,0.0,65.09007233479805,-30.656074226887895
2023-08-15,38.8129997253418,18.3,0.0,65.09007233479805,-26.277072609456255
2023-08-16,37.784000396728516,17.8,0.1999999999999993,64.97314744882136,-27.18914705209285
2023-08-17,36.82500076293945,18.6,0.0,65.09007233479805,-28.2650715718586
2023-08-18,36.40999984741211,20.5,0.0,65.09007233479805,-28.680072487385942
2023-08-19,36.40999984741211,21.1,0.0,65.09007233479805,-28.680072487385942
2023-08-20,36.40999984741211,18.9,0.0,65.09007233479805,-28.680072487385942
2023-08-21,40.78200149536133,18.8,0.0,65.09007233479805,-24.308070839436724
2023-08-22,42.90800094604492,18.2,0.0,65.09007233479805,-22.18207138875313
2023-08-23,36.7859992980957,18.7,0.0,65.09007233479805,-28.30407303670235
2023-08-24,31.937999725341797,19.5,0.0,65.09007233479805,-33.152072609456255
2023-08-25,34.777000427246094,18.7,0.0,65.09007233479805,-30.313071907551958
2023-08-26,34.777000427246094,15.8,2.1999999999999993,63.803898589054526,-29.026898161808433
2023-08-27,34.777000427246094,15.0,3.0,63.33619904514779,-28.559198617901693
2023-08-28,38.41400146484375,15.7,2.3000000000000007,63.74543614606618,-25.331434681222433
2023-08-29,35.19499969482422,15.4,2.5999999999999996,63.57004881710116,-28.37504912227694
2023-08-30,35.992000579833984,14.1,3.9000000000000004,62.81003705825271,-26.818036478418726
2023-08-31,35.02899932861328,15.0,3.0,63.33619904514779,-28.307199716534505
2023-09-01,35.617000579833984,16.0,2.0,63.92082347503121,-28.30382289519723
2023-09-02,35.617000579833984,17.0,1.0,64.50544790491463,-28.888447325080648
2023-09-03,35.617000579833984,17.3,0.6999999999999993,64.68083523387966,-29.063834654045678
2023-09-04,35.617000579833984,18.4,0.0,65.09007233479805,-29.473071754964067
2023-09-05,34.44900131225586,21.2,0.0,65.09007233479805,-30.641071022542192
2023-09-06,31.075000762939453,22.1,0.0,65.09007233479805,-34.0150715718586
2023-09-07,32.755001068115234,22.0,0.0,65.09007233479805,-32.33507126668282
2023-09-08,34.507999420166016,21.5,0.0,65.09007233479805,-30.582072914632036
2023-09-09,34.507999420166016,22.0,0.0,65.09007233479805,-30.582072914632036
